address,floor_area,agent_name,baths,beds,price
"23 Beech House, Glenamuck Road, Carrickmines, Dublin 18",94 m²,,2 Bath,2 Bed,"€330,000 "
"10 Mount Eustace Walk, Tyrrelstown, Dublin 15",,,1 Bath,3 Bed,"AMV: €240,000 "
"18 Yeats Hall Carrickmines Wood Carrickmines Dublin 18, Carrickmines, Dublin 18",135 m²,,3 Bath,3 Bed,"€895,000 "
"27 Walkinstown Parade, Walkinstown, Walkinstown, Dublin 12",,,1 Bath,3 Bed,"€324,950 "
"Kilternan Wood, Enniskerry Road, Kilternan, Dublin 18",,,,,Spacious Family Homes 
"35 Beverton Drive, Donabate, Co. Dublin",124 m²,,3 Bath,4 Bed,"€535,000 "
"37 Bremore Pastures Drive, Balbriggan, Co. Dublin",90 m²,,3 Bath,3 Bed,"€260,000 "
"5 Maretimo Villas, Blackrock, Co. Dublin",156 m²,,2 Bath,3 Bed,"€995,000 "
"53 Kenilworth Square South, Rathgar, Dublin 6",440 m²,,3 Bath,5 Bed,"€1,950,000 "
"7 The Grove, Goatstown Road, Dublin 14",,,4 Bath,4 Bed,"€975,000 "
"90 Elmfield Avenue, Clarehall, Dublin 13",128 m²,,2 Bath,4 Bed,"€425,000 "
"74 Highgrove, Mount Talbot, Clondalkin, Dublin 22",75 m²,,2 Bath,2 Bed,"€265,000 "
"70 Lissadel Drive, Drimnagh, Drimnagh, Dublin 12",87 m²,,1 Bath,3 Bed,"€400,000 "
"21 Ashfield Avenue, Ridgewood, Swords, Co. Dublin",117 m²,,3 Bath,3 Bed,"€475,000 "
"8 St Mochta's Road, Clonsilla, Dublin 15",95 m²,,3 Bath,3 Bed,"€385,000 "
